%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
(  0.10259859694024027E-01-0.30476814881638167E-02i)
(  0.67759611567613298E+00-0.20127927669427087E+00i)
(  0.85339418232320375E-19-0.25349992389155518E-19i)
(  0.67759611567613298E+00-0.20127927669427087E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.67759611567613298E+00-0.20127927669427087E+00i)
( -0.73396060806601374E-19+0.21802229513403037E-19i)
(  0.67759611567613298E+00-0.20127927669427087E+00i)
( -0.10259859694024027E-01+0.30476814881638167E-02i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
( -0.20501419786983913E+00-0.69016953169036932E+00i)
(  0.25349992389155518E-19+0.85339418232320375E-19i)
(  0.20501419786983913E+00+0.69016953169036932E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
( -0.20501419786983913E+00-0.69016953169036932E+00i)
(  0.21802229513403037E-19+0.73396060806601374E-19i)
(  0.20501419786983913E+00+0.69016953169036932E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.97012713217362456E+00-0.28817533475756363E+00i)
(  0.72548164913679774E-02-0.21550362851108177E-02i)
(  0.72174269794335878E-09-0.21439297635085893E-09i)
(  0.72548157696252797E-02-0.21550360707178417E-02i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.72548157696252780E-02-0.21550360707178417E-02i)
( -0.72174269794335878E-09+0.21439297635085893E-09i)
(  0.72548164913679766E-02-0.21550362851108177E-02i)
( -0.97012713217362467E+00+0.28817533475756363E+00i)
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.46370103744027985E+00-0.13774194872004347E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.46370103744027985E+00-0.13774194872004347E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.46370103744027985E+00-0.13774194872004347E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.46370103744027985E+00-0.13774194872004347E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.47230543453625773E+00-0.14029787663019763E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.47230543453625773E+00-0.14029787663019763E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.47230543453625773E+00-0.14029787663019763E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.47230543453625773E+00-0.14029787663019763E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.46944077909601900E+00-0.13944693347741080E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.00000000000000000E+00+0.00000000000000000E+00i)
(  0.46944077909601906E+00-0.13944693347741080E+00i)
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
